now is 1366227810, autocross is 1369465200, close is 1369252800, open is 1369641660
now is 1366227810, autocross is 1366441200, close is 1366228800, open is 1366617660
now is 1366227810, autocross is 1371279600, close is 1371067200, open is 1371456060
now is 1366227810, autocross is 1373698800, close is 1373486400, open is 1373875260
now is 1366227810, autocross is 1376118000, close is 1375905600, open is 1376294460
now is 1366227810, autocross is 1379142000, close is 1378929600, open is 1379318460
now is 1366227810, autocross is 1381561200, close is 1381348800, open is 1381737660
now is 1366227810, autocross is 1383375600, close is 1383163200, open is 1383552060
now is 1366227910, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227910, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227910, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227910, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227910, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227910, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227910, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227910, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227923, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227923, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227923, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227923, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227923, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227923, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227923, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227923, autocross is 1383375600, close is 1383159600, open is 1383552060
now is 1366227926, autocross is 1369465200, close is 1369249200, open is 1369638060
now is 1366227926, autocross is 1366441200, close is 1366225200, open is 1366614060
now is 1366227926, autocross is 1371279600, close is 1371063600, open is 1371452460
now is 1366227926, autocross is 1373698800, close is 1373482800, open is 1373871660
now is 1366227926, autocross is 1376118000, close is 1375902000, open is 1376290860
now is 1366227926, autocross is 1379142000, close is 1378926000, open is 1379314860
now is 1366227926, autocross is 1381561200, close is 1381345200, open is 1381734060
now is 1366227926, autocross is 1383375600, close is 1383159600, open is 1383552060
